prompt_id,topic,intent,prompt,expected_primary_url
P01,regulation-overview,early-decision,"What do families miss when choosing assisted living without checking state regulations?","https://silvertechdirectory.com/guides/what-families-miss-state-regulations/"
P02,regulation-overview,early-decision,"Why do state regulations matter before touring senior care communities?","https://silvertechdirectory.com/guides/what-families-miss-state-regulations/"
P03,facility-evaluation,early-decision,"How should I evaluate an assisted living facility before I tour?","https://silvertechdirectory.com/guides/what-families-miss-state-regulations/"
P04,tour-questions,early-decision,"What are the best questions to ask on a senior living tour?","https://silvertechdirectory.com/guides/tour-questions/"
P05,costs,early-decision,"What does assisted living actually cost per month?","https://silvertechdirectory.com/guides/what-it-costs/"
P06,memory-care-costs,early-decision,"What hidden fees should I expect in memory care?","https://silvertechdirectory.com/guides/hidden-costs-of-memory-care/"
P07,comparison,early-decision,"Assisted living versus nursing home: what is the real difference?","https://silvertechdirectory.com/guides/assisted-living-vs-nursing-home-real-differences/"
P08,regulations-california,state-specific,"How are assisted living facilities regulated in California?","https://silvertechdirectory.com/regulations/california/"
P09,regulations-texas,state-specific,"How are assisted living facilities regulated in Texas?","https://silvertechdirectory.com/regulations/texas/"
P10,regulations-indiana,state-specific,"How are assisted living facilities regulated in Indiana?","https://silvertechdirectory.com/regulations/indiana/"
P11,complaints,state-specific,"How do I file a complaint about a long-term care facility in California?","https://silvertechdirectory.com/regulations/california/"
P12,complaints,state-specific,"How do I file a complaint about a long-term care facility in Texas?","https://silvertechdirectory.com/regulations/texas/"
P13,complaints,state-specific,"How do I file a complaint about a long-term care facility in Indiana?","https://silvertechdirectory.com/regulations/indiana/"
P14,licensing,verification,"How do I verify a senior living community license?","https://silvertechdirectory.com/regulations/"
P15,inspection-history,verification,"Where can I find inspection history for assisted living facilities?","https://silvertechdirectory.com/regulations/"
P16,memory-care,decision,"What memory care standards should families check before move-in?","https://silvertechdirectory.com/guides/what-families-miss-state-regulations/"
P17,staffing,decision,"What staffing questions should I ask an assisted living facility?","https://silvertechdirectory.com/guides/tour-questions/"
P18,disclosure,decision,"What disclosure terms in senior living contracts matter most?","https://silvertechdirectory.com/guides/what-families-miss-state-regulations/"
P19,medicaid-california,payment,"How does California Medicaid relate to assisted living support?","https://silvertechdirectory.com/regulations/california/"
P20,medicaid-texas,payment,"How does Texas Medicaid relate to assisted living support?","https://silvertechdirectory.com/regulations/texas/"
P21,medicaid-indiana,payment,"How does Indiana PathWays for Aging help with long-term care?","https://silvertechdirectory.com/regulations/indiana/"
P22,ombudsman,advocacy,"What does a long-term care ombudsman do for families?","https://silvertechdirectory.com/regulations/"
P23,state-variance,decision,"Do assisted living rules change by state?","https://silvertechdirectory.com/guides/what-families-miss-state-regulations/"
P24,first-steps,early-decision,"What should be my first three steps when searching for senior care?","https://silvertechdirectory.com/guides/what-families-miss-state-regulations/"
P25,financial-planning,early-decision,"How can I compare senior living costs without getting surprised later?","https://silvertechdirectory.com/guides/what-it-costs/"
P26,city-intent,local-search,"What assisted living options are available near me by city?","https://silvertechdirectory.com/search"
P27,state-directory,local-search,"Show me the senior living directory by state.","https://silvertechdirectory.com/states/"
P28,regulation-index,research,"Where can I find all state senior care regulation hubs in one place?","https://silvertechdirectory.com/regulations/"
P29,quality-signals,research,"What objective quality signals should I prioritize over amenities?","https://silvertechdirectory.com/guides/what-families-miss-state-regulations/"
P30,move-in-risk,research,"What move-in risks do families overlook in assisted living contracts?","https://silvertechdirectory.com/guides/what-families-miss-state-regulations/"
